Date,Quantity
2/3/2012,4146
2/4/2012,2831
2/5/2012,2944
2/6/2012,3779
2/7/2012,4363
2/8/2012,2794
2/9/2012,3824
2/10/2012,3822
2/11/2012,2168
2/12/2012,1529
2/13/2012,3419
2/14/2012,3909
2/15/2012,4160
2/16/2012,3000
2/17/2012,4145
2/18/2012,4316
2/19/2012,2689
2/20/2012,3127
2/21/2012,3771
2/22/2012,4767
2/23/2012,5048
2/24/2012,3480
2/25/2012,2732
2/26/2012,3389
2/27/2012,4317
2/28/2012,4353
2/29/2012,1829
3/1/2012,4978
3/2/2012,3190
3/3/2012,4061
3/4/2012,3418
3/5/2012,3331
3/6/2012,3946
3/7/2012,4907
3/8/2012,5374
3/9/2012,4561
3/10/2012,4116
3/11/2012,4906
3/12/2012,5290
3/13/2012,5833
3/14/2012,6305
3/15/2012,6183
3/16/2012,4368
3/17/2012,7832
3/18/2012,5890
3/19/2012,6146
3/20/2012,6088
3/21/2012,6221
3/22/2012,6859
3/23/2012,8351
3/24/2012,3367
3/25/2012,4993
3/26/2012,5549
3/27/2012,5093
3/28/2012,5692
3/29/2012,6126
3/30/2012,5447
3/31/2012,6233
4/1/2012,6038
4/2/2012,5920
4/3/2012,6757
4/4/2012,6419
4/5/2012,6441
4/6/2012,6453
4/7/2012,6855
4/8/2012,5168
4/9/2012,5576
4/10/2012,5907
4/11/2012,4849
4/12/2012,5396
4/13/2012,6389
4/14/2012,7458
4/15/2012,7124
4/16/2012,6361
4/17/2012,6671
4/18/2012,4360
4/19/2012,6547
4/20/2012,7273
4/21/2012,6621
4/22/2012,1023
4/23/2012,3204
4/24/2012,5621
4/25/2012,6187
4/26/2012,5020
4/27/2012,6225
4/28/2012,4220
4/29/2012,6302
4/30/2012,5569
5/1/2012,5733
5/2/2012,6158
5/3/2012,6415
5/4/2012,6288
5/5/2012,6883
5/6/2012,6355
5/7/2012,6267
5/8/2012,5719
5/9/2012,4710
5/10/2012,6563
5/11/2012,7019
5/12/2012,7427
5/13/2012,6116
5/14/2012,2842
5/15/2012,5109
5/16/2012,7413
5/17/2012,7371
5/18/2012,7631
5/19/2012,8292
5/20/2012,7124
5/21/2012,4355
5/22/2012,6060
5/23/2012,5249
5/24/2012,6759
5/25/2012,6720
5/26/2012,6533
5/27/2012,6588
5/28/2012,6038
5/29/2012,5733
5/30/2012,6840
5/31/2012,7328
6/1/2012,4118
6/2/2012,8118
6/3/2012,7641
6/4/2012,6994
6/5/2012,6997
6/6/2012,7048
6/7/2012,7489
6/8/2012,7730
6/9/2012,7496
6/10/2012,6595
6/11/2012,6655
6/12/2012,4961
6/13/2012,7416
6/14/2012,7359
6/15/2012,7656
6/16/2012,7698
6/17/2012,6968
6/18/2012,5092
6/19/2012,6812
6/20/2012,6196
6/21/2012,5891
6/22/2012,5810
6/23/2012,7452
6/24/2012,6889
6/25/2012,6769
6/26/2012,7425
6/27/2012,7323
6/28/2012,6868
6/29/2012,5455
6/30/2012,5679
7/1/2012,5531
7/2/2012,6227
7/3/2012,6660
7/4/2012,7403
7/5/2012,6241
7/6/2012,6207
7/7/2012,4840
7/8/2012,4672
7/9/2012,6569
7/10/2012,6290
7/11/2012,7264
7/12/2012,7446
7/13/2012,7499
7/14/2012,6969
7/15/2012,6031
7/16/2012,6830
7/17/2012,6786
7/18/2012,5713
7/19/2012,6591
7/20/2012,5870
7/21/2012,4459
7/22/2012,7410
7/23/2012,6966
7/24/2012,7592
7/25/2012,8173
7/26/2012,6861
7/27/2012,6904
7/28/2012,6685
7/29/2012,6597
7/30/2012,7105
7/31/2012,7216
8/1/2012,7580
8/2/2012,7261
8/3/2012,7175
8/4/2012,6824
8/5/2012,5464
8/6/2012,7013
8/7/2012,7273
8/8/2012,7534
8/9/2012,7286
8/10/2012,5786
8/11/2012,6299
8/12/2012,6544
8/13/2012,6883
8/14/2012,6784
8/15/2012,7347
8/16/2012,7605
8/17/2012,7148
8/18/2012,7865
8/19/2012,4549
8/20/2012,6530
8/21/2012,7006
8/22/2012,7375
8/23/2012,7765
8/24/2012,7582
8/25/2012,6053
8/26/2012,5255
8/27/2012,6917
8/28/2012,7040
8/29/2012,7697
8/30/2012,7713
8/31/2012,7350
9/1/2012,6140
9/2/2012,5810
9/3/2012,6034
9/4/2012,6864
9/5/2012,7112
9/6/2012,6203
9/7/2012,7504
9/8/2012,5976
9/9/2012,8227
9/10/2012,7525
9/11/2012,7767
9/12/2012,7870
9/13/2012,7804
9/14/2012,8009
9/15/2012,8714
9/16/2012,7333
9/17/2012,6869
9/18/2012,4073
9/19/2012,7591
9/20/2012,7720
9/21/2012,8167
9/22/2012,8395
9/23/2012,7907
9/24/2012,7436
9/25/2012,7538
9/26/2012,7733
9/27/2012,7393
9/28/2012,7415
9/29/2012,8555
9/30/2012,6889
10/1/2012,6778
10/2/2012,4639
10/3/2012,7572
10/4/2012,7328
10/5/2012,8156
10/6/2012,7965
10/7/2012,3510
10/8/2012,5478
10/9/2012,6392
10/10/2012,7691
10/11/2012,7570
10/12/2012,7282
10/13/2012,7109
10/14/2012,6639
10/15/2012,5875
10/16/2012,7534
10/17/2012,7461
10/18/2012,7509
10/19/2012,5424
10/20/2012,8090
10/21/2012,6824
10/22/2012,7058
10/23/2012,7466
10/24/2012,7693
10/25/2012,7359
10/26/2012,7444
10/27/2012,7852
10/28/2012,4459
10/29/2012,22
10/30/2012,1096
10/31/2012,5566
11/1/2012,5986
11/2/2012,5847
11/3/2012,5138
11/4/2012,5107
11/5/2012,5259
11/6/2012,5686
11/7/2012,5035
11/8/2012,5315
11/9/2012,5992
11/10/2012,6536
11/11/2012,6852
11/12/2012,6269
11/13/2012,4094
11/14/2012,5495
11/15/2012,5445
11/16/2012,5698
11/17/2012,5629
11/18/2012,4669
11/19/2012,5499
11/20/2012,5634
11/21/2012,5146
11/22/2012,2425
11/23/2012,3910
11/24/2012,2277
11/25/2012,2424
11/26/2012,5087
11/27/2012,3959
11/28/2012,5260
11/29/2012,5323
11/30/2012,5668
12/1/2012,5191
12/2/2012,4649
12/3/2012,6234
12/4/2012,6606
12/5/2012,5729
12/6/2012,5375
12/7/2012,5008
12/8/2012,5582
12/9/2012,3228
12/10/2012,5170
12/11/2012,5501
12/12/2012,5319
12/13/2012,5532
12/14/2012,5611
12/15/2012,5047
12/16/2012,3786
12/17/2012,4585
12/18/2012,5557
12/19/2012,5267
12/20/2012,4128
12/21/2012,3623
12/22/2012,1749
12/23/2012,1787
12/24/2012,920
12/25/2012,1013
12/26/2012,441
12/27/2012,2114
12/28/2012,3095
12/29/2012,1341
12/30/2012,1796
12/31/2012,2729
1/1/2013,1985
1/2/2013,3703
1/3/2013,3873
1/4/2013,4118
1/5/2013,3562
1/6/2013,3790
1/7/2013,4774
1/8/2013,5311
1/9/2013,5147
1/10/2013,5415
1/11/2013,4150
1/12/2013,5628
1/13/2013,4145
1/14/2013,5059
1/15/2013,2923
1/16/2013,3511
1/17/2013,4817
1/18/2013,4512
1/19/2013,4974
1/20/2013,5768
1/21/2013,4574
1/22/2013,2951
1/23/2013,3220
1/24/2013,2448
1/25/2013,2375
1/26/2013,2765
1/27/2013,3032
1/28/2013,2733
1/29/2013,5834
1/30/2013,4687
1/31/2013,4358
2/1/2013,3201
2/2/2013,2473
2/3/2013,2586
2/4/2013,3946
2/5/2013,4613
2/6/2013,4915
2/7/2013,4488
2/8/2013,3390
2/9/2013,3466
2/10/2013,3613
2/11/2013,4268
2/12/2013,5680
2/13/2013,3556
2/14/2013,5170
2/15/2013,5358
2/16/2013,3239
2/17/2013,2508
2/18/2013,3361
2/19/2013,3960
2/20/2013,4383
2/21/2013,4147
2/22/2013,3562
2/23/2013,2575
2/24/2013,4378
2/25/2013,5002
2/26/2013,2784
2/27/2013,5440
2/28/2013,5128
3/1/2013,4941
3/2/2013,3741
3/3/2013,3095
3/4/2013,4454
3/5/2013,5217
3/6/2013,1136
3/7/2013,5043
3/8/2013,4870
3/9/2013,6835
3/10/2013,6829
3/11/2013,6087
3/12/2013,4289
3/13/2013,5742
3/14/2013,4881
3/15/2013,6384
3/16/2013,6247
3/17/2013,3984
3/18/2013,2768
3/19/2013,6001
3/20/2013,5887
3/21/2013,4541
3/22/2013,5452
3/23/2013,6543
3/24/2013,3888
3/25/2013,1933
3/26/2013,5627
3/27/2013,5856
3/28/2013,5640
3/29/2013,7443
3/30/2013,9664
3/31/2013,3821
4/1/2013,6420
4/2/2013,5946
4/3/2013,6287
4/4/2013,5872
4/5/2013,7679
4/6/2013,9346
4/7/2013,9830
4/8/2013,8550
4/9/2013,9838
4/10/2013,9639
4/11/2013,9166
4/12/2013,6064
4/13/2013,11369
4/14/2013,9695
4/15/2013,6979
4/16/2013,8315
4/17/2013,8563
4/18/2013,7761
4/19/2013,6178
4/20/2013,8882
4/21/2013,7401
4/22/2013,6794
4/23/2013,7509
4/24/2013,8552
4/25/2013,8332
4/26/2013,9074
4/27/2013,10904
4/28/2013,7921
4/29/2013,4333
4/30/2013,5405
5/1/2013,8691
5/2/2013,8592
5/3/2013,8741
5/4/2013,9586
5/5/2013,8080
5/6/2013,6565
5/7/2013,4462
5/8/2013,6669
5/9/2013,7870
5/10/2013,8957
5/11/2013,6531
5/12/2013,8103
5/13/2013,7441
5/14/2013,8122
5/15/2013,8826
5/16/2013,8972
5/17/2013,10155
5/18/2013,6405
5/19/2013,6734
5/20/2013,8454
5/21/2013,9103
5/22/2013,8987
5/23/2013,8136
5/24/2013,6698
5/25/2013,8039
5/26/2013,9960
5/27/2013,9067
5/28/2013,7605
5/29/2013,9357
5/30/2013,8825
5/31/2013,9190
6/1/2013,9568
6/2/2013,7746
6/3/2013,7475
6/4/2013,10032
6/5/2013,10075
6/6/2013,6925
6/7/2013,2509
6/8/2013,9863
6/9/2013,9341
6/10/2013,4429
6/11/2013,9271
6/12/2013,9269
6/13/2013,7340
6/14/2013,9900
6/15/2013,10546
6/16/2013,8816
6/17/2013,8703
6/18/2013,7208
6/19/2013,10136
6/20/2013,10267
6/21/2013,10422
6/22/2013,10913
6/23/2013,7276
6/24/2013,8134
6/25/2013,9276
6/26/2013,8611
6/27/2013,8889
6/28/2013,6377
6/29/2013,10620
6/30/2013,7181
7/1/2013,7944
7/2/2013,7953
7/3/2013,7818
7/4/2013,10832
7/5/2013,10652
7/6/2013,8981
7/7/2013,6949
7/8/2013,8172
7/9/2013,8848
7/10/2013,8209
7/11/2013,8942
7/12/2013,5792
7/13/2013,9372
7/14/2013,8497
7/15/2013,8108
7/16/2013,8515
7/17/2013,8720
7/18/2013,7902
7/19/2013,8087
7/20/2013,8706
7/21/2013,8538
7/22/2013,8796
7/23/2013,9335
7/24/2013,9856
7/25/2013,10228
7/26/2013,10370
7/27/2013,8474
7/28/2013,8242
7/29/2013,9328
7/30/2013,9980
7/31/2013,8773
8/1/2013,7844
8/2/2013,9940
8/3/2013,8532
8/4/2013,10511
8/5/2013,10162
8/6/2013,8469
8/7/2013,9827
8/8/2013,8972
8/9/2013,9545
8/10/2013,10162
8/11/2013,9596
8/12/2013,9613
8/13/2013,8395
8/14/2013,10497
8/15/2013,10800
8/16/2013,10889
8/17/2013,11168
8/18/2013,5835
8/19/2013,9066
8/20/2013,9692
8/21/2013,9241
8/22/2013,9650
8/23/2013,7699
8/24/2013,10990
8/25/2013,9584
8/26/2013,9385
8/27/2013,9622
8/28/2013,7735
8/29/2013,9435
8/30/2013,9748
8/31/2013,9479
9/1/2013,9300
9/2/2013,8122
9/3/2013,8944
9/4/2013,9826
9/5/2013,10007
9/6/2013,10258
9/7/2013,10236
9/8/2013,9516
9/9/2013,9141
9/10/2013,9570
9/11/2013,9267
9/12/2013,7079
9/13/2013,10056
9/14/2013,11269
9/15/2013,9855
9/16/2013,8359
9/17/2013,9968
9/18/2013,10059
9/19/2013,10461
9/20/2013,10676
9/21/2013,6919
9/22/2013,9442
9/23/2013,9067
9/24/2013,9606
9/25/2013,9615
9/26/2013,9893
9/27/2013,9989
9/28/2013,10190
9/29/2013,9365
9/30/2013,9132
10/1/2013,10358
10/2/2013,10385
10/3/2013,10157
10/4/2013,10263
10/5/2013,10586
10/6/2013,9776
10/7/2013,5880
10/8/2013,9944
10/9/2013,6438
10/10/2013,2532
10/11/2013,1800
10/12/2013,5261
10/13/2013,6027
10/14/2013,8940
10/15/2013,9381
10/16/2013,9729
10/17/2013,9548
10/18/2013,10373
10/19/2013,9415
10/20/2013,8594
10/21/2013,9056
10/22/2013,9074
10/23/2013,7970
10/24/2013,7897
10/25/2013,7953
10/26/2013,7983
10/27/2013,8022
10/28/2013,8603
10/29/2013,9134
10/30/2013,8144
10/31/2013,8429
11/1/2013,8180
11/2/2013,9490
11/3/2013,7735
11/4/2013,6954
11/5/2013,8223
11/6/2013,8877
11/7/2013,8065
11/8/2013,7589
11/9/2013,7618
11/10/2013,7260
11/11/2013,7264
11/12/2013,6162
11/13/2013,6544
11/14/2013,7359
11/15/2013,7754
11/16/2013,6891
11/17/2013,7025
11/18/2013,8350
11/19/2013,7522
11/20/2013,7409
11/21/2013,7588
11/22/2013,8230
11/23/2013,6180
11/24/2013,3227
11/25/2013,5360
11/26/2013,1901
11/27/2013,2264
11/28/2013,1603
11/29/2013,2956
11/30/2013,3042
12/1/2013,3727
12/2/2013,6385
12/3/2013,7523
12/4/2013,7674
12/5/2013,8243
12/6/2013,2976
12/7/2013,4931
12/8/2013,1376
12/9/2013,3473
12/10/2013,2724
12/11/2013,5530
12/12/2013,5133
12/13/2013,5686
12/14/2013,2828
12/15/2013,4354
12/16/2013,5669
12/17/2013,5407
12/18/2013,5840
12/19/2013,6716
12/20/2013,6575
12/21/2013,6495
12/22/2013,2849
12/23/2013,2031
12/24/2013,2369
12/25/2013,1012
12/26/2013,2469
12/27/2013,3619
12/28/2013,4450
12/29/2013,1460
12/30/2013,4400
12/31/2013,4166
1/1/2014,3041
1/2/2014,3356
1/3/2014,1634
1/4/2014,2281
1/5/2014,2080
1/6/2014,3553
1/7/2014,2330
1/8/2014,3976
1/9/2014,4992
1/10/2014,1861
1/11/2014,1984
1/12/2014,5467
1/13/2014,6919
1/14/2014,5126
