"rules","support","confidence","coverage","lift","count"
"{Diag_DD0026,Diag_DD0058} => {HighCost}",0.00170395614165061,0.450980392156863,0.00377833753148615,6.11178045515395,23
"{Diag_DD0026,Diag_DD0080} => {HighCost}",0.00111127574455475,0.555555555555556,0.00200029634019855,7.52900490852298,15
"{Diag_DD0026,Diag_DD0062} => {HighCost}",0.00125944584382872,0.447368421052632,0.00281523188620536,6.06283026844219,17
"{Diag_DD0026,Diag_DD0042} => {HighCost}",0.00207438138983553,0.549019607843137,0.00377833753148615,7.44042838018742,28
"{Diag_DD0026,Diag_DD0240} => {HighCost}",0.00288931693584235,0.565217391304348,0.00511186842495184,7.65994412432338,39
"{Diag_DD0026,Diag_DD0052} => {HighCost}",0.00481552822640391,0.481481481481481,0.0100014817009927,6.52513758738658,65
"{Diag_DD0026,Diag_DD0038} => {HighCost}",0.00140761594310268,0.542857142857143,0.00259297673729441,7.35691336775674,19
"{Diag_DD0026,Diag_DD0110} => {HighCost}",0.00600088902059564,0.54,0.0111127574455475,7.31819277108434,81
"{Diag_DD0000,Diag_DD0026} => {HighCost}",0.00229663653874648,0.563636363636364,0.00407467773003408,7.63851770719241,31
"{Diag_DD0026,Diag_DD0124} => {HighCost}",0.00111127574455475,0.428571428571429,0.00259297673729441,5.80808950086058,15
"{Diag_DD0022,Diag_DD0026} => {HighCost}",0.00170395614165061,0.48936170212766,0.00348199733293821,6.63193198325216,23
"{Diag_DD0026,Diag_DD0098} => {HighCost}",0.0026670617869314,0.610169491525424,0.00437101792858201,8.2691443741066,36
"{Diag_DD0026,Diag_DD0044} => {HighCost}",0.00229663653874648,0.563636363636364,0.00407467773003408,7.63851770719241,31
"{Diag_DD0016,Diag_DD0026} => {HighCost}",0.00170395614165061,0.534883720930233,0.00318565713439028,7.24885588867096,23
"{Diag_DD0026,Diag_DD0120} => {HighCost}",0.00555637872277374,0.551470588235294,0.0100755667506297,7.47364457831325,75
"{Diag_DD0026,Diag_DD0072} => {HighCost}",0.00340791228330123,0.547619047619048,0.00622314416950659,7.42144769554408,46
"{Diag_DD0026,Diag_DD0130} => {HighCost}",0.00414876277967106,0.482758620689655,0.00859386575789006,6.54244564464756,56
"{Diag_DD0026,Diag_DD0082} => {HighCost}",0.00429693287894503,0.58,0.00740850496369833,7.86028112449799,58
"{Diag_DD0018,Diag_DD0026} => {HighCost}",0.0017780411912876,0.521739130434783,0.00340791228330123,7.07071765322158,24
"{Diag_DD0020,Diag_DD0026} => {HighCost}",0.00274114683656838,0.569230769230769,0.00481552822640391,7.71433426011739,37
"{Diag_DD0026,Diag_DD0056} => {HighCost}",0.00474144317676693,0.447552447552448,0.0105941620980886,6.06532423399893,64
"{Diag_DD0026,Diag_DD0102} => {HighCost}",0.00125944584382872,0.414634146341463,0.00303748703511631,5.619208541483,17
"{Diag_DD0002,Diag_DD0026} => {HighCost}",0.00585271892132168,0.484662576687117,0.0120758630908283,6.56824845393845,79
"{Diag_DD0012,Diag_DD0026} => {HighCost}",0.00451918802785598,0.504132231404959,0.00896429100607497,6.83210528062664,61
"{Diag_DD0026,Diag_DD0034} => {HighCost}",0.00451918802785598,0.491935483870968,0.00918654615498592,6.66681241093406,61
"{Diag_DD0026,Diag_DD0142} => {HighCost}",0.00237072158838346,0.4,0.00592680397095866,5.42088353413655,32
"{Diag_DD0004,Diag_DD0026} => {HighCost}",0.00296340198547933,0.476190476190476,0.00622314416950659,6.45343277873398,40
"{Diag_DD0006,Diag_DD0026} => {HighCost}",0.00451918802785598,0.451851851851852,0.0100014817009927,6.12359065893202,61
"{Diag_DD0026,Diag_DD0064} => {HighCost}",0.00518595347458883,0.357142857142857,0.0145206697288487,4.84007458405049,70
